feature,importance
ghi,0.83196884
ghi_lag_1,0.12336068
hour,0.009393243
dhi,0.0093827145
hour_sin,0.0051198294
ghi_rolling_mean_3h,0.0038138921
ghi_lag_2,0.0028326188
doy_cos,0.0015449162
ghi_lag_3,0.0013015501
dni,0.0012964176
month,0.0012867755
day_of_year,0.0009070348
ghi_lag_24,0.000900541
hour_cos,0.00087967515
doy_sin,0.0008255821
temp_lag_1,0.0008204938
ghi_rolling_std_3h,0.0007339736
wind_direction,0.00067891256
pressure,0.0006638385
wind_gust,0.00065552484
wind_speed,0.00064853224
humidity,0.0005751392
temperature,0.00040925026
