feature,importance
temperature,0.71475214
temp_lag_1,0.28112185
hour_sin,0.0005668207
ghi,0.0005439688
dhi,0.00051514927
dni,0.00036903264
doy_cos,0.0003360244
hour,0.00028323388
wind_gust,0.00019826088
ghi_lag_1,0.0001623034
ghi_lag_24,0.00015581872
hour_cos,9.914228e-05
day_of_year,9.5184114e-05
ghi_lag_3,8.790543e-05
humidity,8.688044e-05
doy_sin,8.624095e-05
pressure,8.4706866e-05
ghi_lag_2,8.304641e-05
month,8.062481e-05
wind_speed,7.73886e-05
ghi_rolling_std_3h,7.657117e-05
wind_direction,6.945593e-05
ghi_rolling_mean_3h,6.817086e-05
